,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_SMB_vw,t_SMB_vw,beta_HML_vw,t_HML_vw,beta_MOM,t_MOM
IT,0.005286679565703144,0.9700371659879191,0.47826848083395523,131.0,1.2689120865433265,9.88501567815985,0.6773342486258975,1.8063635584434388,0.08772681104109203,0.4288726338006348,0.08611422323643521,0.5285771924791227
ITW,-0.000786956940742761,-0.27282101480408405,0.7369199527763645,131.0,1.0904113669408038,16.049357910469052,0.9283853540264679,4.67791010420241,0.012888344200771715,0.1190459382046243,-0.08919423252940321,-1.0344077554764817
PODD,0.003541991157965703,0.3720273331035063,0.2531911048276937,131.0,1.144897358313883,5.105454048402093,1.8259783059628028,2.7875311611516573,-0.5387422231934623,-1.5076446694172203,0.46134857134903084,1.6210062952023165
INTU,0.003918549983797567,0.9774617926042751,0.6017965163498853,131.0,1.1846476954234808,12.545964539571926,0.16767874766895613,0.6079238229994368,-0.4888426357132027,-3.2488830836533773,0.08697179022027424,0.7257398229277564
IPG,-0.0025529300960020424,-0.5632552385486582,0.537334306018597,131.0,1.0242256780940546,9.5940597365108,0.6879128540747385,2.205954153377057,0.21711699913809623,1.2762940668316234,-0.2742997942218513,-2.0245100792592416
IQV,-0.0012750278374182285,-0.24339888328277912,0.5307982502625728,131.0,1.2560142040332172,10.179674876765542,1.5523385636402955,4.307071707784006,-0.17994226512400918,-0.9152141031654464,0.22641693765782223,1.4458923897502138
IRM,0.003509452987410052,0.6461586522215294,0.3660306758186138,131.0,0.8684651453933144,6.788793060559771,1.3756243784601072,3.6812587119620597,0.06883285802324639,0.33766507501357357,0.18511257658361396,1.1401547631965128
ISRG,0.006485511727046699,1.2640780257672974,0.5531342701693327,131.0,1.4124957747681155,11.688458314806331,0.07883090287185417,0.2233175603601927,-0.12930005270202444,-0.6714581365447251,0.6267973749512955,4.08681470052605
IVZ,-0.009937624697965334,-1.5245851341388694,0.5255333533928626,131.0,1.3425872295957644,8.744843538973951,1.2321034678995046,2.7473438041084206,0.601485265508378,2.4585819484129146,-0.2591465880253322,-1.3299727104124752
J,0.0015750388700746765,0.3176946747511648,0.36426257905385784,131.0,0.8631203553877611,7.391463898878573,0.4858194183507086,1.4242632551095853,0.21752421033486588,1.1690063383508806,-0.026409865469615042,-0.1782021720012004
JBHT,-0.001367507107000712,-0.2986366353989752,0.49628682731906815,131.0,1.1088529112289311,10.28082283110936,0.3182714586844146,1.010201310755932,0.23885780399706485,1.389771921858936,0.030058634663686076,0.2195891547325844
JBL,0.007591079097456013,1.1425763761220946,0.36459852624992173,131.0,1.0425934856201025,6.662499244561465,1.1874425934257489,2.59771252197051,-0.22138163970861527,-0.8877975242297411,-0.31854752849912016,-1.6039251918809374
JCI,-0.005548844127659746,-1.2525735413192631,0.5912153456454149,131.0,1.149832905953071,11.019855091563107,1.5839854245311746,5.196951102799773,0.015988922445506013,0.0961635550997756,0.10651898472379906,0.8043700133575901
JKHY,0.0006223290725594903,0.14686641594387637,0.32967014104987735,131.0,0.681942482907296,6.832672352217809,0.6741181812184307,2.3122521314309643,-0.24266015769854316,-1.5257784915177268,0.11499085517433873,0.9078076867050121
JNJ,-0.0006310790685553606,-0.1829783421432456,0.3207586983168915,131.0,0.606044498377343,7.460378601695379,-0.04026629995011005,-0.1696892687312325,0.2655543021909496,2.0514449174517626,0.15438514145331936,1.497440440478202
JPM,0.008749491703651692,2.6281404059212856,0.7223799420538344,131.0,1.173258299800976,14.96235025192444,-0.3434599595808454,-1.4994728107197577,1.1508732162831377,9.210513188975153,0.1997955245085647,2.0076113409959753
K,-0.0006757012181920574,-0.13941427600563858,0.1495264744211009,131.0,0.46806754212469276,4.100166700936048,0.44220597272802004,1.3260927210822995,0.19173411887850203,1.05400471572909,0.22625938039870758,1.5616628692201422
KDP,-0.0026770862167701977,-0.3321836155245377,0.075644849699117,131.0,0.4353725141861906,2.293597991202192,0.9381219670369444,1.6918891151154036,-0.2271491442060217,-0.7509613069525591,-0.025383589027034886,-0.10536515792890937
KEY,0.002077013809406862,0.37955646582744607,0.6157128271821444,131.0,1.237670877347919,9.602462597860413,0.7943511577210766,2.109824271473869,1.4092150859402321,6.861276165369215,0.11588343543513786,0.7084129911424262
KIM,-0.005502546050895672,-0.9476601110799676,0.483824933667117,131.0,1.1295771053960333,8.259337982091255,1.2368589826071181,3.0960348706295204,0.31430883928607745,1.4422352823052533,-0.1885075503860004,-1.0860399718825404
